Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
Jul 05 2022 13:32:35,232,2,5,3,0.52,0.832,0.913,0.913,4,1,0.1678,0.0869,0.0869,0.0809,0.0206,63 [.]
Jul 05 2022 13:32:43,158,4,1,4,3.89,0.692,0.834,0.834,2,0,0.6918,0.8336,0.8336,-0.1417,-0.2162,29 [.]
Jul 05 2022 13:32:52,172,2,1,1,1,0.831,0.915,0.915,2,0,0.8314,0.9155,0.9155,-0.0841,-0.147,32 [.]
Jul 05 2022 13:32:58,134,4,1,1,1,0.691,0.831,0.831,2,0,0.6905,0.8314,0.8314,-0.1409,-0.2145,15 [.]
Jul 05 2022 13:33:02,187,2,7,4,0.59,0.831,0.916,0.916,5,1,0.1694,0.0841,0.0841,0.0853,0.0216,41 [.]
Jul 05 2022 13:33:12,253,2,1,1,1,0.83,0.919,0.919,2,0,0.8301,0.9189,0.9189,-0.0887,-0.1551,74 [.]
Jul 05 2022 13:33:22,178,2,7,5,0.72,0.83,0.914,0.914,5,1,0.1703,0.0857,0.0857,0.0846,0.0216,38 [.]
Jul 05 2022 13:33:38,295,2,1,1,1,0.829,0.918,0.918,2,0,0.8295,0.9177,0.9177,-0.0882,-0.1541,95 [.]
Jul 05 2022 13:35:46,173,2,5,5,0.92,0.829,0.913,0.913,4,1,0.1709,0.0873,0.0873,0.0836,0.0216,33 [.]
Jul 05 2022 13:35:54,39,4,14,6,0.4,0.687,0.822,0.822,5,1,0.3131,0.1782,0.1782,0.135,0.0663,F 土[.]
Jul 06 2022 05:33:00,40,4,13,17,1.33,0.898,0.984,0.986,5,1,0.1024,0.0165,0.0139,0.0885,0.0103,D 大[.]
Jul 06 2022 05:33:24,92,5,17,20,1.2,0.625,0.795,0.955,5,1,0.3752,0.2049,0.045,0.3302,0.1388,3 [.]
Jul 06 2022 05:33:41,157,1,2,2,0.88,0.919,0.932,0.961,4,1,0.0813,0.068,0.0389,0.0424,0.0051,28 [.]
Jul 06 2022 05:34:15,130,5,1,1,1.03,0.654,0.785,0.953,1,0,0.6543,0.7854,0.9531,-0.2988,-0.4802,19 [.]
